UNIT,UNIT_DIMENSION,CONVERTIBLE_UNIT,DISPLAY_UNIT,MASTER_UNIT,SI_UNIT,US_CONVENTIONAL_UNIT,SPDEF_SUBMVAL,USE_MOLECULAR_WEIGHT,USE_COMPLEX_UNIT_CONVERSION,CONVERTION_FACTOR_TO_MASTER,CT_SUBMVAL,CT_SUBMVAL_2,CT_CD,description,CD_VAL_SORT_SEQ,UCUM name,AGE_UNIT_SUBSET,STUDY_TIME_UNIT_SUBSET,DOSE_UNIT_SUBSET,TIME_UNIT_SUBSET,STRENGTH_UNIT_SUBSET,STUDY_PREFERRED_TIME_UNIT,ENDPOINT_UNITS_SUBSET,Migrate Y/N,Comment
kJ/d,ENERGY EXPENDITURE,Y,Y,N,Y,N,,N,N,1157407407,0,,,A unit expressing the number of kiloJoules per day.,55,kJ/d,N,N,N,N,N,N,Y,Y,
mL/100mL/min,BLOOD FLOW,Y,Y,N,Y,N,,N,N,1,0,,,"Sponsor defined.
mL/100mL/min

",21,mL/100.mL/min,N,N,N,N,N,N,Y,Y,
%*min,PERCENTAGE,N,Y,N,N,N,,N,N,0,0,,,"Sponsor defined: Percent multiplied with min
",1520,%.min,N,N,N,N,N,N,Y,Y,
BOOLEAN,DICHOTOMY,N,N,Y,N,N,,N,N,1,0,,,Boolean to hold numeric values 0 and 1,40,0,N,N,N,N,N,N,Y,Y,
min*umol/L,TIME TIMES CONCENTRATION,Y,Y,N,Y,N,,Y,N,166666667,0,,,Unit for AUC umol*min/L,100,min.umol/L,N,N,N,N,N,N,Y,Y,
cm/year,LENGTH PER TIME,Y,Y,Y,N,N,,N,N,1,0,,,"Centimetres Per Year.
Centimetre is a basic unit of length equal to one hundredth of a meter or approximately 0.393700787 inch(CDISC:C49668, Units for Vital Signs Results). Per Year is a frequency rate of occurrences of something within a period of time equal to three hundred sixty-five days. (CDISC: C74924)
",120,cm/a,N,N,N,N,N,N,Y,Y,
kJ/h,ENERGY EXPENDITURE,Y,Y,N,Y,N,,N,N,277777778,0,,,kiloJoule per hour expenditure,56,kJ/h,N,N,N,N,N,N,Y,Y,
h*ng/L,TIME TIMES CONCENTRATION,Y,Y,N,Y,N,,N,N,1,0,,,Hours times nanograms per liter (area under the curve).,100,h.ng/L,N,N,N,N,N,N,Y,Y,
min*pg/mL,TIME TIMES CONCENTRATION,Y,Y,N,Y,N,,N,N,166667,0,,,"Minutes times picograms per milliliter (area under the curve).
",100,min.pg/mL,N,N,N,N,N,N,Y,Y,
h*uIU/mL,TIME TIMES CONCENTRATION,N,Y,N,N,N,,N,N,1,0,,,Hours times one millionth of an International unit per milliliter,100,h.u[IU]/mL,N,N,N,N,N,N,Y,Y,
ug/g creatinine,MASS FRACTION,Y,Y,N,Y,N,,N,N,1,mg/kg,,C67401,"CDISC controlled terminology version 2013-04-12
CDISC code: C85744
CDISC submission value: ug/g
CDISC synonym(s)
CDISC definition: Nanograms per milligram.
NCI preferred term: Microgram Per Gram

CDISC controlled terminology version 2015-12-18 
CDISC code: C85780
CDISC submission value: pg/mg Creatinine
CDISC synonym(s): ng/g; pg/mg
CDISC definition: Picograms per milligram.
NCI preferred term: Picogram per Milligram",130,mg/kg,N,N,N,N,N,N,Y,Y,
