UNIT,UNIT_DIMENSION,CONVERTIBLE_UNIT,DISPLAY_UNIT,MASTER_UNIT,SI_UNIT,US_CONVENTIONAL_UNIT,SPDEF_SUBMVAL,USE_MOLECULAR_WEIGHT,USE_COMPLEX_UNIT_CONVERSION,CONVERTION_FACTOR_TO_MASTER,CT_SUBMVAL,CT_SUBMVAL_2,CT_CD,description,CD_VAL_SORT_SEQ,UCUM name,AGE_UNIT_SUBSET,STUDY_TIME_UNIT_SUBSET,DOSE_UNIT_SUBSET,TIME_UNIT_SUBSET,STRENGTH_UNIT_SUBSET,STUDY_PREFERRED_TIME_UNIT,ENDPOINT_UNITS_SUBSET,Migrate Y/N,Comment
MET-minutes,ENERGY EXPENDITURE,N,Y,N,N,N,,N,N,1,MET*min,,C127807,"A metabolic equivalent, or MET, is a unit useful for describing the energy expenditure of a specific activity. A MET is the ratio of the rate of energy expended during an activity to the rate of energy expended at rest.eg If a person does a 4 MET activity for 30 minutes, he or she has done 4 x 30 = 120 MET-minutes.",55,[MET].min,N,N,N,N,N,N,Y,Y,
g%,CONCENTRATION,N,Y,N,N,N,,N,N,10,g/dL,,C64783,CDISC Not Found. Found this explanation using this link:https://fscimage.fishersci.com/webimages_FSC/downloads/winek.pdf,35,g/dL,N,N,N,N,N,N,Y,Y,
mOsm/kg,OSMOLALITY,Y,Y,N,N,N,,N,N,1,mOsm/kg,,C67427,"CDISC code: C67427
CDISC submission value: mOsm/kg
CDISC synonym: Milliosmole per Kilogram
CDISC Description: A unit of osmotic pressure equal to one thousandth of an osmole per kilogram substance.
NCI preferred term: mOsm/kg",115,mosm/kg,N,N,N,N,N,N,Y,Y,
titer,CONCENTRATION,N,Y,N,N,N,,N,N,0,titer,,C67454,"CDISC CODE: C67454
CDISC submission value:titer
CDISC synonym: Concentration of a substance in a solution as determined by the quantitative reaction with added measured volume(s) of a solution of the precisely known concentration(s) of a standard reagent.
NCI preffered term: Titer
",35,{titer},N,N,N,N,N,N,Y,Y,
nmol/mL,CONCENTRATION,Y,Y,N,Y,N,,Y,N,0.000001,umol/L,,C48508,"CDISC code: umol/L
CDISC synonym: nmol/mL

",35,nmol/mL,N,N,N,N,N,N,Y,Y,
g/mol,CONCENTRATION,N,Y,N,Y,N,,Y,N,1,g/mol,,C73721,A unit of mass commonly used to express the molar mass of a substance in gram(s) per mole. (NCI),1,g/mol,N,N,N,N,N,N,Y,Y,
uU/mL,U_IU Concentration,Y,Y,N,N,N,,N,N,1,mU/L,,C67408,"uU/mL : microunits / mililiter
CDISC not found

",2000,uU/mL,N,N,N,N,N,N,Y,Y,
arbitrary units,ARBITRARINESS,N,Y,Y,N,N,,N,N,1,Arbitrary U,,C75765,"A unit based on or subject to individual judgment, preference, or predetermined reference. (NCI)",1,[arb'U],N,N,N,N,N,N,Y,Y,
m/s,VELOCITY,Y,Y,Y,Y,N,,N,N,1,m/s,,C42571,"CDISC code: C42571
CDISC submission value: m/sec
CDISC synonym: Meter Per Second
CDISC Description: A unit of both speed (scalar) and velocity (vector), defined as the distance of one meter travelled per unit time equal to one second.(NCI)
NCI preferred term: Meter Per Second",2110,m/s,N,N,N,N,N,N,Y,Y,
min,TIME,Y,Y,N,Y,N,,N,N,60,min,,C48154,"CDISC code: C48154
CDISC submission value: min
CDISC synonym: Minute Unit of Time
CDISC Description: A unit measure of time equal to 60 seconds.(NCI)
NCI preferred term: Minute

[time subset]",1950,min,N,N,N,Y,N,N,Y,Y,
(mL/day)/kg,RELATIVE FLOW RATE,N,Y,N,Y,N,,N,N,1,mL/kg/day,,C73758,"Days times micrograms per milliliter (area under the curve).
CDISC code:C73758
CDISC submission value: (mL/day)/kg
CDISC synonym(s): (mL/day)/kg; mL/kg/day
CDISC definition: Milliliters per kilogram per day or milliliters per day (flow rate), divided by kilograms (weight).
NCI preferred term: Milliliter per Kilogram per Day
",2002,mL/kg/d,N,N,N,N,N,N,Y,Y,
Events/h,COUNT PER TIME,Y,Y,Y,N,N,,N,N,1,/h,,C66966,Number of events per hour,500,/h,N,N,N,N,N,N,Y,Y,
mL/min/1.73m2,VOLUMETRIC FLOW RATE,Y,Y,N,N,N,,N,N,1,mL/min/1.73 m2,,C67412,"CDISC code: C67412
CDISC submission value: mL/min/1.73m2
CDISC synonym: 
CDISC Description: A metric unit of volumetric flow rate defined as the rate at which one milliliter of matter travels during the period of time equal to one minute per 1.73 meters squared of body surface area.
NCI preferred term: Milliliter per Minute per 1.73 m2 of Body Surface Area",2140,mL/min/(173/100).m2,N,N,N,N,N,N,Y,Y,
PUFF,DOSE UNIT,N,Y,N,N,N,,N,N,1,PUFF,,C65060,"A means of delivering a defined dose of a therapeutic aerolized solution into either the upper or lower respiratory tract. Metered-dose inhalers or spray pumps are devices that provide a puff dose for delivery into either the oral or the nasal cavity.(NCI)

[dose subset]",1,{PUFF},N,N,Y,N,N,N,Y,Y,
MET,ENERGY,N,Y,N,N,N,,N,N,1,MET,,C127805,"Metabolic equivalent of task
From Wikipedia
The metabolic equivalent of task (MET), or simply metabolic equivalent, is a physiological concept expressing the energy cost of physical activities[1] as multiples of resting metabolic rate (RMR) and is defined as the ratio of metabolic rate (and therefore the rate of energy consumption) during a specific physical activity to a reference rate of metabolic rate at rest, set by convention to 3.5 ml O2·kg-1·min-1 or equivalently 1 kcal·kg-1· h-1 or 4.184 kJ·kg-1· h-1. By convention 1 MET is considered as the resting metabolic rate obtained during quiet sitting.[2][3] MET values of physical activities range from 0.9 (sleeping) to 18 (running at 17.5 km/h or a 5:31 mile pace).
",50,[MET],N,N,N,N,N,N,Y,Y,
1/h,ELIMINATION,Y,Y,Y,Y,N,,N,N,1,/h,,C66966,"1/h
",50,/h,N,N,N,N,N,N,Y,Y,
L/day,FLOW,Y,Y,N,Y,N,,N,N,416667,L/day,,C69110,A unit of flow rate equal to one liter per day.,70,L/d,N,N,N,N,N,N,Y,Y,
10^6/Ejaculate U,CELL COUNT,N,Y,N,N,N,,N,N,1,10^6/Ejaculate U,,C130189,"10^6/Ejaculate U

Used for count of total sperm cells in a sample",1,10*6/{Ejaculate U},N,N,N,N,N,N,Y,Y,
nm,LENGTH,Y,Y,N,Y,N,,N,N,0.000000001,nm,,C67328,"A unit of length equal to one billionth of a meter (1E-9 meter). Nanometer is used as a unit for light wavelength measurement. (NCI)
",1,nm,N,N,N,N,N,N,Y,Y,
Per Year,COUNT PER TIME,Y,Y,N,N,N,,N,N,1.1408E+11,PA,,C74924,"SDTM Terminology 2017-06-30
Code:C74924
CDISC Code Value: PA
CDISC Value Label: PA
CDISC synonym(s): /Year; Every Year; Per Annum; Per Year
CDISC definition: A frequency rate of occurrences of something within a period of time equal to three hundred sixty-five days.
NCI preferred term: Per Year",39,/a,N,N,N,N,N,N,Y,Y,
kIU/L,U_IU Concentration,Y,Y,N,N,N,,N,N,1000,IU/mL,,C67377,"KIU/L is equivalent to
CDISC code: C67377
CDISC submission value: IU/mL
CDISC synonym(s): IE/mL; International Unit per Milliliter; Kilo International Unit per Liter; kIU/L
CDISC definition: A unit of concentration (biologic activity) equal to one international unit of substance per milliliter of solution.
NCI preferred term: International Unit per Milliliter",2000,[IU]/mL,N,N,N,N,N,N,Y,Y,
ft,LENGTH,Y,Y,N,N,N,,N,N,3048,ft,,C71253,"A unit of length defined by the U.S. National Bureau of Standards as 30.48 centimeters. It is equal to 0.3048 meter, 12 inches, or to approximately 0.999998 survey foot.(NCI)
",120,[ft_i],N,N,N,N,N,N,Y,Y,
mg/mmol,CONCENTRATION,Y,Y,N,Y,N,,Y,N,1,g/mol,,C73721,"CDISC code: C73721
CDISC submission value: g/mol
CDISC synonym: mg/mmol",35,g/mol,N,N,N,N,N,N,Y,Y,
pg/dL,CONCENTRATION,Y,Y,N,Y,N,,N,N,1E-11,pg/dL,,C67331,"CDISC code: C67331
CDISC submission value: pg/dL
CDISC synonym(s): Picogram per Deciliter
CDISC definition: Picograms per deciliter.
NCI preferred term: pg/dL
",35,pg/dL,N,N,N,N,N,N,Y,Y,
10^4/uL,CELL COUNT,Y,Y,N,Y,N,,N,N,10,10^10/L,,C105517,"A unit of measurement equal to 10 to the tenth power of entities per unit of volume equal to one liter. (NCI)

CDISC synonyms: 10^4/mm3; 10^4/uL; 10^7/mL",30,10^10/L,N,N,N,N,N,N,Y,Y,
mU/mL,U_IU Concentration,Y,Y,N,N,N,,N,N,1,U/L,,C67456,"mU/mL equivalent to U/L

",2000,{Unit}/L,N,N,N,N,N,N,Y,Y,
mmol/day,MASS FLOW RATE,Y,Y,N,Y,N,,N,N,6944,mmol/day,,C67420,A unit of substance flow rate equal to one millimole per day.,1,mmol/d,N,N,N,N,N,N,Y,Y,
/wk,COUNT PER TIME,Y,Y,N,N,N,,N,N,59524,/wk,,C67069,"Code:C67069
CDISC submission Value: /wk
CDISC Value Label: EVERY WEEK
CDISC synonym(s): Every week; Per Week; QS
CDISC definition: Every week. (NCI)
NCI preferred term: Weekly
",39,/wk,N,N,N,N,N,N,Y,Y,
F,TEMPERATURE,N,Y,N,N,N,,N,N,1,F,,C44277,"<CodeLists>
<CodeList Value=""UNIT""></CodeList>
<CodeList Value=""VSRESU""></CodeList>
</CodeLists>
CDISC code: C44277
CDISC submission value: F
CDISC synonym: Degree Fahrenheit
CDISC Description: The Fahrenheit temperature scale is named after the German physicist Gabriel Fahrenheit (1686-1736), who proposed it in 1724. In this scale, the freezing point of water is 32 degrees Fahrenheit and the boiling point is 212 degrees, placing the boiling and melting points of water 180 degrees apart. In this scale a degree Fahrenheit is 5/9ths of a Kelvin (or of a degree Celsius), and minus 40 degrees Fahrenheit is equal to minus 40 degrees Celsius. (NCI)
NCI preferred term: Degree Fahrenheit
",1910,[degF],N,N,N,N,N,N,Y,Y,
mL/s/m2,VOLUMETRIC FLOW RATE,Y,Y,N,Y,N,,N,N,1038,mL/s/m2,,C166100,A metric unit of volumetric flow rate defined as the rate at which one milliliter of matter travels during the period of time equal to one second per meter squared.,2141,ml/s/m2,N,N,N,N,N,N,Y,Y,
dpm/mL,VOLUMETRIC RADIOACTIVITY,Y,Y,N,N,N,,N,N,1,dpm/mL,,C117970,"CDISC value found 
CDISC Code: C117970
CDISC Submission Value: dpm/mL
CDISC Synonym(s): Disintegrations per Minute per Milliliter
CDISC Definition: A unit of radioactive decay expressed in atoms of radioactive material that decay over a period of time equal to sixty seconds in a volume unit equal to one milliliter.
NCI Preferred Term: Disintegration per Minute per Milliliter",2150,{disintegrations}/min/mL,N,N,N,N,N,N,Y,Y,
umol/kg/min,DOSE RATE,N,Y,N,Y,N,,N,N,1,umol/kg/min,,C126082,"A unit of concentration (molarity unit) equal to one millionth of a mole (1E-6 mole) per kilogram of a substance per period of time equal to sixty seconds.

[dose subset]",1,umol/kg/min,N,N,Y,N,N,N,Y,Y,
g/cm2,BMI,Y,Y,N,Y,N,,N,N,10,g/cm2,,C71201,A unit of area density defined as a spread rate at which one gram of a substance is spread over the area of one square centimeter. The unit is also used as a dose calculation unit.(NCI),1,g/cm2,N,N,N,N,N,N,Y,Y,
g/mL,CONCENTRATION,Y,Y,N,Y,N,,N,N,1000,kg/L,,C64566,"CDISC code:C64566
CDISC submission value:g/mL
CDISC synonym:Gram per Milliliter; Kilogram per Liter; g/mL; gram/mL; kg/L; mg/uL
CDISC definition:A unit of mass concentration defined as the concentration of one kilogram of a substance in unit volume of the mixture equal to one liter. The concept also refers to the unit of mass density (volumic mass) defined as the density of substance which mass equal to one kilogram occupies the volume one liter.(NCI)
NCI preferred term: Kilogram per Liter",35,kg/L,N,N,N,N,N,N,Y,Y,
mg/dL,CONCENTRATION,Y,Y,N,Y,Y,,N,N,1,mg/dL,,C67015,"CDISC code: C67015
CDISC submission value: mg/dL
CDISC synonym: Milligram per Deciliter; mg%
CDISC Description: A unit of mass concentration defined as the concentration of one milligram of a substance in unit volume of the mixture equal to one cubic deciliter or 100 cubic centimeters. It is also a unit of mass density (volumic mass) defined as the density of substance which mass equal to one milligram occupies the volume one cubic deciliter or 100 cubic centimeters.(NCI)
NCI preferred term: Milligram per Deciliter",35,mg/dL,N,N,N,N,N,N,Y,Y,
mIU/mL,U_IU Concentration,Y,Y,N,N,N,,N,N,1,IU/L,,C67376,milli IU per milliliter. mIU/mL is equivalent to IU/L,2000,m[IU]/mL,N,N,N,N,N,N,Y,Y,
uEq/L,CONCENTRATION,Y,Y,N,N,N,,Y,N,0.000001,ugEq/L,,C122230,"Microequivalent of solute per liter of solution. CDISC not found.
",35,ug.eq/l,N,N,N,N,N,N,Y,Y,
kg/mol,CONCENTRATION,N,Y,N,Y,N,,Y,N,1,kg/mol,,C122210,A unit of mass commonly used to express the molar mass of a substance in kilogram(s) per mole.,1,kg/mol,N,N,N,N,N,N,Y,Y,
ug/L/h,CONCENTRATION PER TIME,Y,Y,N,Y,N,,N,N,1,ug/L/h,,C122229,A rate unit equal to the number of micrograms per unit of volume equal to one liter per unit of time equal to one hour.,1,ug/l/h,N,N,N,N,N,N,Y,Y,
ng/dL,CONCENTRATION,Y,Y,N,Y,N,,N,N,0.00000001,ng/dL,,C67326,"CDISC code: C67326
CDISC submission value: ng/dL
CDISC synonym: Nanogram per Deciliter
CDISC Description: A unit of mass concentration defined as the concentration of one nanogram of a substance in unit volume of the mixture equal to one deciliter. The concept also refers to the unit of mass density (volumic mass) defined as the density of substance which mass equal to one nanogram occupies the volume one deciliter.(NCI)
NCI preferred term: Nanogram per Deciliter",35,ng/dL,N,N,N,N,N,N,Y,Y,
Bq,RADIOACTIVITY,Y,Y,Y,Y,N,,N,N,1,Bq,,C42562,"CDISC code: C42562
CDISC submission value: Bq
CDISC synonym: Becquerel
CDISC Description: A unit of activity of a radionuclide, equal to one nuclear disintegration or other nuclear transition from a particular energy state occurring in an amount of a radionuclide during one second-long time interval.(NCI)
NCI preferred term: Becquerel",1710,Bq,N,N,N,N,N,N,Y,Y,
mg/kg/h,RELATIVE MASS FLOW RATE,Y,Y,N,Y,N,,N,N,1667,mg/kg/h,,C71362,A dose calculation unit equal to one thousandth of a gram of a preparation per one kilogram of body mass administered per unit of time equal to one hour.(NCI),1,mg/kg/h,N,N,N,N,N,N,Y,Y,
fraction of 1,PERCENTAGE,Y,Y,N,N,N,,N,N,100,fraction of 1,,C105484,A unit for expressing a percentage as a decimal whereby the total value is measured as a fraction of the numeric 1.,1,{fraction of 1},N,N,N,N,N,N,Y,Y,
mEq/day,EQUIVALENT RATE,Y,Y,Y,N,N,,Y,N,1,mEq/day,,C67471,"MilliEquivalent (mEq) . The equivalent of a substance is the amount of the substance multiplied by its valence.  For example, 1 mEq = 39 mg of potassium or 23 mg of sodium or  35.4 mg of chlorine
CDISC code: C67471
CDISC submission value: mEq/day
CDISC synonym(s): Milliequivalents per Day  
CDISC definition: A unit of relative amount of substance flow rate equivalent to the rate at which one thousandth of an equivalent of substance travels to a given object or space over a period of time equal to twenty four hours.(NCI)
NCI preferred term: Milliequivalent per 24 Hours",50,meq/d,N,N,N,N,N,N,Y,Y,
U/L,U_IU Concentration,Y,Y,Y,N,N,,N,N,1,U/L,,C67456,"CDISC code: C67456
CDISC submission value: U/L
CDISC synonym: mU/mL; Unit per Liter
CDISC Description: An arbitrary unit of substance concentration equal to the concentration at which one liter of mixture contains one unit of a substance. (NCI)
NCI preferred term: Unit per Liter

[strength subset]
",2000,{Unit}/L,N,N,N,N,Y,N,Y,Y,
mEq/L,CONCENTRATION,Y,Y,N,N,Y,,Y,N,1,mEq/L,,C67474,"CDISC code: C67474
CDISC submission value: mEq/L
CDISC synonym: Milliequivalent Per Liter; mval/L; Millivalent per Liter
CDISC Description: A concentration unit measured as a number of milliequivalents of solute per liter of solution.(NCI)
NCI preferred term: Milliequivalent per Liter",35,meq/L,N,N,N,N,N,N,Y,Y,
m,LENGTH,Y,Y,Y,Y,N,,N,N,1,m,,C41139,"<CodeLists>
<CodeList Value=""UNIT""></CodeList>
<CodeList Value=""VSRESU"" CodeSubmValue=""m""></CodeList>
</CodeLists>
CDISC code: C41139
CDISC submission value: m
CDISC synonym: Meter
CDISC Description: A meter is defined as the length of the path traveled by light in a vacuum during a time interval of 1/299 792 458 of a second and is equal to 1.093 61 yards.(NCI)
NCI preferred term: Meter
",120,m,N,N,N,N,N,N,Y,Y,
YEARS,TIME,N,Y,N,N,N,,N,N,1,YEARS,,C29848,"The period of time that it takes for Earth to make a complete revolution around the sun, approximately 365 days; a specific one year period. (NCI)",1,a,N,N,N,N,N,N,Y,Y,
1/d,ELIMINATION,Y,Y,N,Y,N,,N,N,4166,/day,,C25473,"CDISC code: C25473
CDISC submission value: /day
CDISC synonym: Daily; Per Day
CDISC Description: Occurring or done each day. (NCI)
NCI preferred term: Daily",50,/d,N,N,N,N,N,N,Y,Y,
mcg/day,MASS FLOW RATE,Y,Y,N,Y,N,,N,N,6944,ug/day,,C71205,"Micrograms per day or Micrograms per 24 hours.

In its current use NN defines mcg=ug as confirmed by CHHE. But UCUM defines it as mcg/day = millicentigram/day. There is a factor 10 difference. This means that mcg/day is defined as and linked to ug/day. 
",1,ug/d,N,N,N,N,N,N,Y,Y,
mg/L,CONCENTRATION,Y,Y,N,Y,N,,N,N,1,mg/L,,C64572,"CDISC code: C64572
CDISC submission value: mg/L
CDISC synonym: g/m3; Gram per Cubic Meter; mg/L; Microgram per Milliliter; Milligram per Liter; mcg/mL; ng/uL; ug/mL
CDISC Description: A unit of mass concentration equal to the concentration of one gram of a substance per unit volume of the mixture equal to one cubic meter. The concept also refers to the metric unit of mass density (volumic mass) defined as the density of substance which mass equal to one gram occupies the volume one cubic meter.(NCI)
NCI preferred term: Microgram per Milliliter

[strength subset]
",35,ug/mL,N,N,N,N,Y,N,Y,Y,
RFU,ARBITRARINESS,N,Y,N,N,N,,N,N,1,RFU,,C77535,Relative Fluorescence Intensity Unit,1,{RFU},N,N,N,N,N,N,Y,Y,
10^9/L,CELL COUNT,Y,Y,Y,Y,N,,N,N,1,10^9/L,,C67255,"CDISC code: C67255
CDISC submission value: 10^9/L
CDISC synonym: 10^3/uL;10^3/mm3
CDISC Description: A unit of measurement equal to 10 to the ninth power of the number of entities per unit of volume equal to one liter.
NCI preferred term: Billion per Liter",30,10*9/L,N,N,N,N,N,N,Y,Y,
ug/mL,CONCENTRATION,Y,Y,N,Y,N,,N,N,1,mg/L,,C64572,"<CodeLists>
<CodeList Value=""PKUNIT""></CodeList>
<CodeList Value=""UNIT"" CodeSubmValue=""ug/mL""></CodeList>
</CodeLists>
CDISC submission value:ug/mL (in PKUNIT) / mg/L (in UNIT)
CDISC synonym:Gram per Cubic Meter; ug/mL; Microgram per Milliliter; mg/L; Milligram per Liter
CDSIC code:C64572
CDISC definition:A unit of mass concentration equal to the concentration of one gram of a substance per unit volume of the mixture equal to one cubic meter. The concept also refers to the metric unit of mass density (volumic mass) defined as the density of substance which mass equal to one gram occupies the volume one cubic meter.(NCI)

",35,ug/mL,N,N,N,N,N,N,Y,Y,
uL,VOLUME,Y,Y,N,Y,N,,N,N,0.000001,uL,,C48153,"CDISC code: C48153
CDISC submission value: uL
CDISC synonym(s): Microliter; mcL; mm3 
CDISC definition: A unit of volume accepted for use with the SI and equal to one millionth of a liter (10E-6 liter).(NCI)
NCI preferred term: Microliter",2130,uL,N,N,N,N,N,N,Y,Y,
nL,VOLUME,Y,Y,N,Y,N,,N,N,0.000000001,nL,,C69188,Nanoliter. Equal to cubic micrometer times 10^6.,1,nL,N,N,N,N,N,N,Y,Y,
10^6/mL,CELL COUNT,Y,Y,N,Y,N,,N,N,1,10^9/L,,C67255,"CDISC code: C67255
CDISC submission value: 10^9/L
CDISC synonym: 1/nL; 10^3/mm3; 10^3/uL; 10^6/mL; G/L; GI/L; Giga per Liter
CDISC Description: A unit of measurement equal to 10 to the ninth power of the number of entities per unit of volume equal to one liter.
NCI Preferred Term: Billion per Liter",30,10*9/L,N,N,N,N,N,N,Y,Y,
uIU/mL,U_IU Concentration,Y,Y,N,N,Y,,N,N,1,mIU/L,uIU/mL,C67405,"<CodeLists>
<CodeList Value=""UNIT""></CodeList>
<CodeList Value=""PKUNIT""></CodeList>
</CodeLists>
CDISC code: C67405
CDISC submission value: uIU/mL
CDISC synonym: Micro-International Unit per milliliter; mIU/L; mcIU/mL; uIU/mL
CDISC Description: Microinternational units per milliliter.
NCI preferred term: uIU/mL",2000,u[IU]/mL,N,N,N,N,N,N,Y,Y,
mg/(kg*h),RELATIVE MASS FLOW RATE,Y,Y,N,Y,N,,N,N,166667,mg/kg/h,,C71362,"SDTM Terminology 2017-06-30
Code:C71362
CDISC Code Value: mg/kg/h
CDISC Value Label: mg/kg/h
CDISC synonym(s): Milligram per Kilogram per Hour
CDISC definition: 
A dose calculation unit equal to one thousandth of a gram of a preparation per one kilogram of body mass administered per unit of ti
me equal to one hour.(NCI)
NCI preferred term: Milligram per Kilogram per Hour
",1735,mg/kg/h,N,N,N,N,N,N,Y,Y,
Kcal,ENERGY,Y,Y,N,N,N,,N,N,4185,kcal,,C67194,"CDISC code: C67194
CDISC submission value: kcal
CDISC synonym: Kilogram-Calorie
CDISC Description: A unit of energy defined as the amount of heat required to raise the temperature of one kilogram of pure water by one degree Centigrade under standard conditions (the specific heat of the water at 15 degrees Celsius and the constant pressure of 101.325 kilopascals or one atm being defined as unity), equal to approximately 4.1855 kJ. It is also is used by nutritionists in measuring the energy-producing potential of food as a unit of potential energy contained by a substance, which can be liberated when the material is oxidized, usually by combustion in the presence of oxygen.(NCI)
NCI preferred term: Calorie",52,kcal,N,N,N,N,N,N,Y,Y,
C,TEMPERATURE,Y,Y,Y,N,N,,N,N,1,C,,C42559,"<CodeLists>
<CodeList Value=""UNIT""></CodeList>
<CodeList Value=""VSRESU""></CodeList>
</CodeLists>
CDISC code: C42559
CDISC submission value: C
CDISC synonym: Degree Celsius
CDISC Description: A unit of temperature of the temperature scale designed so that the freezing point of water is 0 degrees and the boiling point is 100 degrees at standard atmospheric pressure. The current official definition of the Celsius sets 0.01 C to be at the triple point of water and a degree to be 1/273.16 of the difference in temperature between the triple point of water and absolute zero. One degree Celsius represents the same temperature difference as one Kelvin.(NCI)
NCI preferred term: Degree Celsius
",1910,Cel,N,N,N,N,N,N,Y,Y,
nmol/kg,RELATIVE WEIGHT,Y,Y,N,Y,N,,Y,N,1E-12,pmol/g,,C85754,"<CodeLists>
<CodeList Value=""PKUNIT""></CodeList>
</CodeLists>
CDISC code: C85754
CDISC submission value: nmol/kg
CDISC synonym(s): pmol/g; nmol/kg 
CDISC definition: Nanomoles per kilogram. 
NCI preferred term: Nanomole per Kilogram",1750,pmol/g,N,N,N,N,N,N,Y,Y,
oz,WEIGHT,Y,Y,N,N,N,,N,N,28,oz,,C48519,"A unit of mass, the avoirdupois ounce is equal to 1/16 pound, or 28.3495 grams, or 0.911 457 troy ounce.(NCI)

[dose subset]",1,[oz_av],N,N,Y,N,N,N,Y,Y,
pmol/mmol,MASS FRACTION,Y,Y,N,Y,N,,Y,N,1,nmol/mol,,C122220,"CDISC code:C122220
CDISC submission value: nmol/mol
CDISC synonym(s): pmol/mmol
CDISC definition: A unit of fraction expressed as the ratio of the amount of a substance in solution, in nanomoles, to the amount of a different substance in the mixture, in moles.
NCI preferred term: Nanomole per Mole

",1,nmol/mol,N,N,N,N,N,N,Y,Y,
g/L,CONCENTRATION,Y,Y,N,Y,Y,,N,N,1,g/L,,C42576,"CDISC code: C42576
CDISC submission value: g/L
CDISC synonym: g/L; Gram per Liter; kg/m3; Kilogram per Cubic Metre; Microgram per Microliter; Milligram per Milliliter; ug/uL; mg/mL
CDISC Description: A unit of mass concentration defined as the concentration of one kilogram of a substance per unit volume of the mixture equal to one cubic meter, or the concentration of one milligram of a substance per unit volume of the mixture equal to one milliliter, or one gram of a substance per one liter of the mixture. It is also a unit of mass density (volumic mass) defined as the density of substance which mass equal to one milligram occupies the volume one milliliter.(NCI)
NCI preferred term: Kilogram per Cubic Meter",35,kg/m3,N,N,N,N,N,N,Y,Y,
mg/mL,CONCENTRATION,Y,Y,N,Y,N,,N,N,1,g/L,,C42576,"miligram / mili liter

[strength subset]
",35,mg/mL,N,N,N,N,Y,N,Y,Y,
GLOBULE,DOSE UNIT,N,Y,N,N,N,,N,N,1,GLOBULE,,C91803,"A dosing measurement based on the globule unit.

[dose subset]",1,{GLOBULE},N,N,Y,N,N,N,Y,Y,
msec,TIME,Y,Y,N,Y,N,,N,N,1,msec,,C41140,"CDISC code: C41140
CDISC submission value: msec
CDISC synonym: Millisecond
CDISC Description: A unit of time, which is equal to one thousandth of a second.(NCI)
NCI preferred term: Millisecond

[time subset]",1950,ms,N,N,N,Y,N,N,Y,Y,
U/mL,U_IU Concentration,Y,Y,N,N,N,,N,N,1000,U/mL,,C77607,"CDISC code: C77607
CDISC submission value: U/mL
CDISC synonym: Unit per Milliliter
CDISC Description: An arbitrary unit of substance content expressed in unit(s) per milliliter. (NCI)
NCI preferred term: Unit per Milliliter

[strength subset]
",2000,U/mL,N,N,N,N,Y,N,Y,Y,
Absorbance U,OPTICAL DENSITY,Y,Y,Y,N,N,,N,N,1,Absorbance U,,C73686,"CDISC code: C73686
CDISC submission value: Absorbance U
CDISC synonym: Absorbance Unit
CDISC Description: A unit of optical density expressed as a logarithm of absorbance of light transmitted through a partially absorbing substance.",1510,{Absorbance U},N,N,N,N,N,N,Y,Y,
kg,WEIGHT,Y,Y,Y,Y,N,,N,N,1,kg,,C28252,"<CodeLists>
<CodeList Value=""UNIT""></CodeList>
<CodeList Value=""VSRESU""></CodeList>
</CodeLists>
CDISC code: C28252
CDISC submission value: kg
CDISC synonym: Kilogram
CDISC Description: The basic SI unit of mass. It is defined as the mass of an international prototype in the form of a platinum-iridium cylinder kept at Sevres in France. It is the only basic unit still defined in terms of a material object, and also the only one with a prefix [kilo] already in place. A kilogram is equal to 1,000 grams and 2.204 622 6 pounds. (NCI)
NCI preferred term: Kilogram
",2200,kg,N,N,N,N,N,N,Y,Y,
pmol/L,CONCENTRATION,Y,Y,N,Y,Y,,Y,N,1E-12,pmol/L,,C67434,"CDISC code: C67434
CDISC submission value: pmol/L
CDISC synonym: Picomole per Liter; fmol/mL; Femtomole per Milliliter
CDISC Description: A unit of concentration (molarity unit) equal to one trillionth of a mole (10E-12 mole) in one liter of solution.(NCI)
NCI preferred term: Picomole per Liter

[strength subset]
",35,pmol/L,N,N,N,N,Y,N,Y,Y,
BU,INHIBITOR ACTIVITY,Y,Y,Y,N,N,,N,N,1,BU,,C117966,"CDISC code: C117966
CDISC submission value: BU
CDISC synonym(s): Bethesda unit
CDISC definition: A unit of measurement for blood coagulation inhibitor activity,expressed in the amount of an inhibitor neutralizing 50% of a coagulant during the incubation period.
NCI preferred term: Bethesda unit
Not in 2013-04-12",90,[beth'U],N,N,N,N,N,N,Y,Y,
g/d,MASS FLOW RATE,Y,Y,N,Y,N,,N,N,6944,g/day,,C67372,"unit for measurement of 24-hour quantitatively collected urine.
CDISC code: C67372
CDISC submission value: g/day
CDISC synonym(s): Gram per Day; g/24h; g/d; gram/24 Hours; gram/day 
CDISC definition: A dose calculation unit expressed in gram(s) per period of time equal to twenty-four hours.
NCI preferred term: Gram per 24 Hours

",120,g/d,N,N,N,N,N,N,Y,Y,
arbitrary units/mL,ARBITRARINESS,N,Y,N,N,N,Arbitrary U/mL,N,N,1,,,,arbitrary units/mL,1,[arb'U]/mL,N,N,N,N,N,N,Y,Y,
